自动序号,时间段(分钟),短句话术,冷场补救,长段话术,政策口径,场景,主题/异议,是否推荐,创建时间,更新时间,标题,关键词,直播间商品序号,父记录,提问类型,提问,回答,家装建材
105,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们怕刺眼就一句话：别让灯直射眼睛。你主要是沙发位晃还是床上晃？公屏打【沙发/床】，我教你怎么选防眩更舒服。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕光线刺眼先说避免直射,,2026/02/26,2026/02/27,开场｜怕光线刺眼先说避免直射,"开场,怕刺眼,避免直射,出光方式,遮光角,柔和",,,,,,
106,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们光线不均匀最影响体验，装完才发现明一块暗一块就难受。你家是客厅还是走廊？面积多少？公屏打出来，我给你一个点位/数量思路。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕光线不均匀先说配光设计,,2026/02/26,2026/02/27,开场｜怕光线不均匀先说配光设计,"开场,怕不均匀,配光设计,光斑,均匀,柔和",,,,,,
107,30-90,家人你要是卡在怕预算不够，小苏把话说透：按预算配，预算不够我给你更省的，预算够我给你更稳的。,家人们预算紧也能买到好用的，关键是按场景配。你给我预算区间【200-300/300-500/500+】，我给你两套：够用款和更舒服款，你对比着拍。,怕钱白花很正常。小苏不跟你讲虚的：灯的差别不只是外观，更在光的舒适度、稳定性和用料做工。你告诉我预算大概是多少，我按你家情况给你推荐：要性价比的我给你更省的，要追求质感耐用的我把参数和3年质保给你对齐。合适再拍，不合适别勉强。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕预算不够先说高性价比,,2026/02/26,2026/02/27,憋单｜怕预算不够先说高性价比,"憋单,预算不够,高性价比,性价比高,更省,预算足够",,,,,,
108,30-90,家人你要是卡在怕质量不稳，小苏把话说透：参数透明，质保3年，你看得清楚再下。,家人们质量稳不稳，最简单看两点：做工细不细、质保清不清。咱们质保3年，有问题直接找我。你更在意【耐用/不刺眼/好装】哪一项？打在公屏。,怕看着便宜很正常。小苏不跟你讲虚的：灯的差别不只是外观，更在光的舒适度、稳定性和用料做工。你把参数（色温、显指、质保3年）和我的服务讲清楚，再决定买不买。有问题打在公屏，小苏优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕质量不稳先说质保和做工,,2026/02/26,2026/02/27,憋单｜怕质量不稳先说质保和做工,"憋单,质量不稳,质保,做工,3年,用料",,,,,,
109,30-90,家人你要是卡在怕售后扯皮，小苏把话说透：平台7天无理由退换，但安装后不支持，规则我先讲清楚，免得后面扯皮。,家人们售后别怕扯皮，规则我先说清：平台7天无理由退换（安装后不支持），到货先验货再装。你不确定就拍给我，我先帮你把风险点排掉。,售后这块你放心，小苏一直在。规则我也提前说清：平台7天无理由退换，但安装后不支持退换。所以你收到货先别急着装，先把尺寸、款式、色温确认好；需要我核对的直接拍照发我。质保是3年，后续有任何问题先联系小苏，咱们先沟通先解决，尽量不让你多跑一趟。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕售后扯皮先说规则清晰,,2026/02/26,2026/02/27,憋单｜怕售后扯皮先说规则清晰,"憋单,售后扯皮,规则清晰,7天,退换,明确",,,,,,
110,30-90,家人你要是卡在怕安装出错，小苏把话说透：先拍你家原灯/孔位，我判断要不要电工、难不难，别你自己瞎猜。,家人们安装最怕“装到一半发现不匹配”。你拍一下原灯底座/孔距/线头，我先帮你判断：能不能直接替换、要不要改孔加固，确认了再下单更稳。,安装麻烦这个顾虑很正常。小苏不让你盲拍：你拍一下原灯位置/天花，换灯一般就是对孔位对线色，吸顶和大部分吊灯都不复杂；筒射主要看开孔尺寸。你担心额外费用，我也提前跟你算：要不要电工、要不要改孔，我先给你判断清楚，你确认能接受再下单，省得后面麻烦。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕安装出错先说风险提示,,2026/02/26,2026/02/27,憋单｜怕安装出错先说风险提示,"憋单,安装出错,风险提示,步骤,对孔位,电工",,,,,,
111,30-90,家人你要是卡在怕不合适，小苏把话说透：先测试再装，通电看效果，不满意再退，省得后面折腾。,家人们怕不合适就按我说的做：到货先通电试光，确认色温和亮度喜欢再装；不喜欢7天内按规则走（安装后不支持）。你公屏发【房间+面积+层高】，我先帮你把方向配准。,怕装完不舒服很正常。小苏建议你先测试再装：收到货先通电看色温、亮度和出光方式，再决定装不装。如果你觉得不舒服，7天内按平台规则退。但重点是：装之前先把尺寸、款式、色温确认好，别装了再改。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕不合适先说先测后装,,2026/02/26,2026/02/27,憋单｜怕不合适先说先测后装,"憋单,怕不合适,先测后装,测试,到好确认,不满意",,,,,,
112,30-90,家人你要是卡在怕后面涨价，小苏把话说透：现在下单最划算，后面可能会涨价，名额有限。,家人们我不硬催单，但福利价一般都是限时的。你要是确定要装这间房，就先拍一单锁住价格；不确定的，把【房间+面积+层高】发我，我先帮你把尺寸和色温定下来再拍。,怕后面涨价很正常。小苏不跟你讲虚的：灯的差别不只是外观，更在光的舒适度、稳定性和用料做工。你告诉我预算大概是多少，我按你家情况给你推荐：要性价比的我给你更省的，要追求质感耐用的我把参数和3年质保给你对齐。现在下单更划算，名额有限。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕后面涨价先说限时,,2026/02/26,2026/02/27,憋单｜怕后面涨价先说限时,"憋单,怕涨价,限时,最后机会,库存紧张,名额有限",,,,,,
113,30-90,家人你要是卡在怕后面涨价，小苏把话说透：现在下单最划算，名额有限，手慢无。,家人们名额这块我说句实话：有需要的先拍先锁价，后面你再慢慢选安装时间。怕选错的，先把【房间+面积+层高】发我，我把灯型和色温先对上。,怕后面涨价很正常。小苏不跟你讲虚的：灯的差别不只是外观，更在光的舒适度、稳定性和用料做工。你告诉我预算大概是多少，我按你家情况给你推荐：要性价比的我给你更省的，要追求质感耐用的我把参数和3年质保给你对齐。现在下单最划算，名额有限，手慢无。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕后面涨价先说名额有限,,2026/02/26,2026/02/27,憋单｜怕后面涨价先说名额有限,"憋单,怕涨价,名额有限,库存紧张,最后机会,最后几张",,,,,,
114,30-90,家人你要是卡在怕后面涨价，小苏把话说透：现在下单最划算，最后机会，库存紧张。,家人们最后机会这种我不吓人，但真要买就别拖：你先拍一单把优惠锁住；需要我帮你确认尺寸/孔位的，拍现场给我，我先给你把“能不能装”说清。,怕后面涨价很正常。小苏不跟你讲虚的：灯的差别不只是外观，更在光的舒适度、稳定性和用料做工。你告诉我预算大概是多少，我按你家情况给你推荐：要性价比的我给你更省的，要追求质感耐用的我把参数和3年质保给你对齐。现在下单最划算，最后机会，库存紧张。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕后面涨价先说最后机会,,2026/02/26,2026/02/27,憋单｜怕后面涨价先说最后机会,"憋单,怕涨价,最后机会,库存紧张,名额有限,最后几张",,,,,,
115,90-180,这位家人眼光真到位！你选的是省心+百搭型，以后换装修、换风格都合适。,家人们你这个也是“省心百搭”型，越用越顺眼。你家层高多少？装餐厅还是客厅？公屏打一下，我顺手把尺寸和下吊高度给你算明白，装出来才好看。,家人你这个选择很稳，小苏给你点个赞。选灯最怕只看图片不看效果，你能选到这种省心、百搭的款式，说明你更在意长期使用的舒适度。你把层高和餐桌/客厅尺寸告诉我，我把尺寸、下吊高度这些给你算一下，装出来才会好看又不压层高。,质保3年；平台7天无理由退换（安装后不支持）。,赞眼光,选得很准（省心+百搭）,,2026/02/26,2026/02/27,赞眼光｜选得很准（省心+百搭）,"赞眼光,选得很准,省心+百搭,省心型,百搭款",,,,,,
116,90-180,这位家人眼光真到位！你选的是省心+耐看型，越用越舒服、越看越顺眼。,家人们耐看这事儿很重要，灯不是网红一阵风，是每天都要用。你更喜欢【清爽/温馨】？公屏打一下，我把色温怎么配给你一句话讲明白。,家人你这个选择很稳，小苏给你点个赞。选灯最怕只看图片不看效果，你能选到这种省心、耐看的款式，说明你更在意长期使用的舒适度。到手记得先确认尺寸和色温，不确定就拍给我，我帮你核对好再安装，省得来回折腾。,质保3年；平台7天无理由退换（安装后不支持）。,赞眼光,选得很准（省心+耐看）,,2026/02/26,2026/02/27,赞眼光｜选得很准（省心+耐看）,"赞眼光,选得很准,省心+耐看,省心型,耐看型",,,,,,
117,90-180,这位家人眼光真到位！你选的是省心+耐用型，长期用下来舒服又省心。,家人们想要耐用就别只看颜值，做工和稳定性才是关键。咱们质保3年，你用着有问题直接找我。你现在更在意【耐用/不刺眼/好装】哪一个？打在公屏我先讲。,家人你这个选择很稳，小苏给你点个赞。选灯最怕只看图片不看效果，你能选到这种省心、耐用的款式，说明你更在意长期使用的舒适度。到手记得先确认尺寸和色温，不确定就拍给我，我帮你核对好再安装，省得来回折腾。,质保3年；平台7天无理由退换（安装后不支持）。,赞眼光,选得很准（省心+耐用）,,2026/02/26,2026/02/27,赞眼光｜选得很准（省心+耐用）,"赞眼光,选得很准,省心+耐用,省心型,耐看型",,,,,,
